pfam_Name,A1,T1,C1,G1,A2,T2,C2,G2,A3,T3,C3,G3,A4,T4,C4,G4,A5,T5,C5,G5,A6,T6,C6,G6,A7,T7,C7,G7,A8,T8,C8,G8,A9,T9,C9,G9,A10,T10,C10,G10,A11,T11,C11,G11
bZIP_1,0.17381421256531335,0.32403505525067167,0.21729247343488,0.28485825683367066,0.18097880479536435,0.1880376711266457,0.207093037362585,0.42389048479994,0.4063122383388347,0.06251854195388849,0.36785876997228234,0.16331044781953066,0.053994250071582324,0.36479470321762797,0.5568986125772694,0.024312432218056273,0.5777541801763174,0.02744829550277809,0.02665029265250259,0.368147229752938,0.3334376714170318,0.03146136988429465,0.634996618699511,0.00010433808369849158,0.05880532730337432,0.027882115861476094,0.3056598936392541,0.6076526612804313,0.018622856602217224,0.6316440921642014,0.034813896419604654,0.31491915289851313,0.061308766341879234,0.30970958716341396,0.1259243865600674,0.5030572580191759,0.2346075845212803,0.3174054453222823,0.16209912399090345,0.2858878442500697,0.28123833422974504,0.28029215954476633,0.191966056188817,0.24650344812120764
zf-Dof,0.35346554561584254,0.1978703075206046,0.23769860192496345,0.21096554561584266,0.38321490516518203,0.19928633373661045,0.21976252421280124,0.19773623756265982,0.27294755404326204,0.29297280727772657,0.22416576059453464,0.2099138787617294,0.37634111154325023,0.4786318304154994,0.08022607025460124,0.06480098846390217,0.999879437255448,4.0187807268439196e-05,4.0187807268439196e-05,4.0187807268439196e-05,0.999879437255448,4.0187807268439196e-05,4.0187807268439196e-05,4.0187807268439196e-05,0.8170978297839872,4.0187807268439196e-05,0.1828217952787292,4.0187807268439196e-05,4.0187807268439196e-05,4.0187807268439196e-05,4.0187807268439196e-05,0.999879437255448,0.1788365471226438,0.36063321645217883,0.3820508328369294,0.07847940426550098,0.2644252367652068,0.25406705543210384,0.1956348066209237,0.2858729018590189,0.3403070699352068,0.1872297902636662,0.2915887130963332,0.18087442738204723
EIN3,0.2283730281667805,0.2283730281667805,0.2283730281667805,0.31488092124677347,0.5065372195474765,0.1507026871451155,0.1507026871451155,0.19205741190940803,0.8590832972277236,0.04697223617313065,0.04697223617313065,0.04697223617313065,0.000137279527536009,0.999588167164507,0.000137279527536009,0.000137279527536009,0.000137279527536009,0.000137279527536009,0.000137279527536009,0.999588167164507,0.357301397005288,0.6424240496867555,0.000137279527536009,0.000137279527536009,0.999588167164507,0.000137279527536009,0.000137279527536009,0.000137279527536009,0.000137279527536009,0.5092126283495926,0.4905128183424505,0.000137279527536009,0.0217642527975343,0.0217642527975343,0.9347072473545126,0.0217642527975343,0.0994345938191992,0.6570193606023136,0.0994345938191992,0.1441114575064035,0.24815604925472295,0.203165044791185,0.203165044791185,0.3455138669100245
GATA,0.22740573047820103,0.317782805957803,0.22740573047820103,0.22740573047820103,0.161356143297017,0.161356143297017,0.515931567501356,0.161356143297017,0.204486701097316,0.453473554423468,0.291262575694785,0.0507771661768407,0.925381485606399,0.00012115895959783702,0.00012115895959783702,0.0743761938668145,0.00012115895959783702,0.00012115895959783702,0.00012115895959783702,0.999636520513615,0.999636520513615,0.00012115895959783702,0.00012115895959783702,0.00012115895959783702,0.00012115895959783702,0.999636520513615,0.00012115895959783702,0.00012115895959783702,0.00012115895959783702,0.00012115895959783702,0.999636520513615,0.00012115895959783702,0.0227154278294982,0.8575986789966971,0.0969704627367148,0.0227154278294982,0.293996194525801,0.165387348886344,0.0887650150106826,0.451851438969582,0.295861033592746,0.305450979537944,0.19934399213085896,0.19934399213085896
Homeobox,0.306308805486683,0.23123039951403898,0.23123039951403898,0.23123039951403898,0.165399798391186,0.503800608855241,0.165399798391186,0.165399798391186,0.6689682622824941,0.0616984464444807,0.20763484885734398,0.0616984464444807,0.924324509901088,0.0754945801310223,9.04569983440761e-05,9.04569983440761e-05,9.04569983440761e-05,0.999728633033769,9.04569983440761e-05,9.04569983440761e-05,0.26089741212538703,0.738921677906723,9.04569983440761e-05,9.04569983440761e-05,0.999728633033769,9.04569983440761e-05,9.04569983440761e-05,9.04569983440761e-05,0.9216795344134598,0.0781395556186494,9.04569983440761e-05,9.04569983440761e-05,0.0188600584915052,0.9434198285542821,0.0188600584915052,0.0188600584915052,0.0846906596143579,0.0846906596143579,0.0846906596143579,0.7459280251857241,0.320020682129752,0.188392011561063,0.30319529877692,0.188392011561063
Myb_DNA-binding,0.2845475472655643,0.24542382035044166,0.21658931370173265,0.25343932006000164,0.22272883299201066,0.3487690397792537,0.27782164276116,0.15068048584531346,0.49678570061124255,0.18338580853966202,0.23455953938083016,0.0852689528460045,0.03313098241535327,0.03703916091238003,0.000189154554111403,0.9296407034958943,0.6663209992637207,0.000189154554111403,0.000189154554111403,0.33330069300579573,0.33330069300579573,0.6663209992637207,0.000189154554111403,0.000189154554111403,0.09605502045538807,0.766185459521878,0.1375703668463618,0.000189154554111403,0.3050117109404867,0.07433611750460806,0.6204630183785323,0.000189154554111403,0.150575660037345,0.28797864302082177,0.23131602215096322,0.33012967616860966,0.16349884874960766,0.16306091035758097,0.40715221297606496,0.266288029294486,0.25758217163275365,0.26091757844285235,0.2849977117843143,0.19650253951781968
NAM,0.5684452951692621,0.11308524187862,0.11308524187862,0.205384226518035,0.163943486880362,0.15198989345253197,0.617287996584985,0.0667786285266595,0.843797479641055,0.0226496594375508,0.0226496594375508,0.11090320692838099,0.273846462660546,0.0901014538989733,0.635886360934607,0.000165727950409955,0.173630540367113,0.185592915169716,0.000165727950409955,0.640610821957299,0.185592915169716,0.0853769928762823,0.7288643694481299,0.000165727950409955,0.8117581546269491,0.18791039491676897,0.000165727950409955,0.000165727950409955,0.999502821593308,0.000165727950409955,0.000165727950409955,0.000165727950409955,0.22701621338148803,0.306569338149346,0.329333966480781,0.137080487432924,0.183387100784884,0.44983870308988305,0.183387100784884,0.183387100784884,0.317451795822557,0.22751606987399303,0.22751606987399303,0.22751606987399303
WRKY,0.32322349975858844,0.1953709448014765,0.242959317799965,0.238446235360602,0.24556997137691397,0.354696870138832,0.2756355367155945,0.12409761948929049,0.3097158447348895,0.03099303961900035,0.03099303961900035,0.6282980737477415,0.08373240073605932,0.00011553490518460661,0.00011553490518460661,0.916036527174203,0.00011553490518460661,0.9996533930050785,0.00011553490518460661,0.00011553490518460661,0.12401891942466882,0.00011553490518460661,0.8757500084855935,0.00011553490518460661,0.9996533930050785,0.00011553490518460661,0.00011553490518460661,0.00011553490518460661,0.959366874316469,0.04040205359379378,0.00011553490518460661,0.00011553490518460661,0.1501429905792718,0.0940197090138941,0.7010927085935998,0.054744589533865906,0.1260179148460515,0.1652930343260795,0.1765759888159635,0.5321130597325355,0.254846590361487,0.2631591685755005,0.262871744067302,0.219122494716342
DUF822,0.232323232323232,0.212121212121212,0.45454545454545503,0.101010101010101,0.41414141414141,0.0,0.0808080808080809,0.50505050505051,0.0,0.0,1.0,0.0,0.898989898989899,0.0606060606060609,0.0,0.040404040404040005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.03030303030303,0.0,0.0,0.96969696969697,0.16161616161616102,0.424242424242424,0.0505050505050514,0.363636363636363,0.17171717171717202,0.0303030303030303,0.33333333333333304,0.46464646464646503,0.36363636363636404,0.0101010101010101,0.29292929292929304,0.33333333333333304
SRF-TF,0.193333333333331,0.0,0.7600000000000021,0.0466666666666671,0.02,0.06,0.92,0.0,0.7599999999999979,0.0733333333333328,0.14666666666667003,0.0199999999999999,0.78,0.06,0.16,0.0,1.0,0.0,0.0,0.0,0.8399999999999979,0.12666666666667,0.0333333333333329,0.0,0.699999999999998,0.0799999999999998,0.0333333333333329,0.18666666666666898,0.48666666666666997,0.51333333333333,0.0,0.0,0.33999999999999897,0.00666666666666668,0.00666666666666668,0.6466666666666679,0.0999999999999997,0.12666666666667,0.0333333333333329,0.7399999999999979,0.4,0.16,0.19333333333332997,0.24666666666667003
