pfam_Name,A1,T1,C1,G1,A2,T2,C2,G2,A3,T3,C3,G3,A4,T4,C4,G4,A5,T5,C5,G5,A6,T6,C6,G6,A7,T7,C7,G7,A8,T8,C8,G8
AP2,0.19099638348537679,0.25970686364490914,0.35373374232935323,0.19556301054036088,0.1266498653468902,0.09739165060377007,0.23124464042122436,0.5447138436281155,0.04646769255987853,0.2829823402037293,0.33202416645201516,0.3385258007843773,0.04788035263331844,0.06785931739672783,0.7531094920502027,0.13115083791975116,0.01775887817305249,0.12540992136153736,0.3157072933935758,0.5411239070718343,0.07362447203411536,0.14714614548783841,0.2507740704073409,0.5284553120707052,0.08977566315599063,0.1818244601960134,0.5317885317541214,0.19661134489387455,0.21638979841384828,0.1533321163338564,0.36537582207030805,0.2649022631819873
HLH,0.13647367817469563,0.1162355535537152,0.2504070367534339,0.49688373151815535,0.03805320082575257,0.001131295202354569,0.9301319699635684,0.03068353400832457,0.862366404949837,0.0061579295849211535,0.10113129520235457,0.030344370262887305,0.10113129520235457,0.0810826489333695,0.8166547606619213,0.001131295202354569,0.04338339604269071,0.01575816087399657,0.08650442953071255,0.8543540135526001,0.004131295202354569,0.8896061143929362,0.005131295202354569,0.10113129520235457,0.001131295202354569,0.1252323053033646,0.001131295202354569,0.8725051042919262,0.15758487818889516,0.19846475698657975,0.37156866169468306,0.27238170312984217
Homeobox,0.314153464830722,0.3141481880219753,0.20234384240763514,0.16935450473966768,0.3208735272881051,0.25104691734483997,0.3425563926141976,0.08552316275285742,0.5906857501046502,0.2672300586050888,0.0800151995669328,0.06206899172332794,0.4325892681108928,0.3653291547905785,0.03966237848030342,0.16241919861822512,0.3244180448358606,0.4616736485722373,0.16579969920773827,0.04810860738416378,0.22926447092639762,0.3271997574053257,0.3960334101825949,0.04750236148568188,0.534880909891774,0.38076808687699576,0.03544564535672626,0.04890535787450386,0.3754722152622755,0.2757306404660274,0.1517381857484087,0.19705895852328822
TCP,0.01978613554286523,0.04225520301017156,0.001950616806493349,0.9360080446404697,0.06170696153807404,0.0016601220083860497,0.0016601220083860497,0.9349727944451538,0.0275256282504803,0.0275256282504803,0.17408633695292938,0.7708624065461098,0.45412677959516173,0.01174279996765203,0.5274289594491671,0.006701460988019042,0.0016601220083860497,0.0016601220083860497,0.9950196339748418,0.0016601220083860497,0.0016601220083860497,0.0016601220083860497,0.9950196339748418,0.0016601220083860497,0.9704858613046342,0.001704390457312183,0.01168620177255886,0.016123546465494618,0.009013986957071014,0.07051305448350179,0.9035450747995704,0.016927883759856703
Myb_DNA-binding,0.28202222458205906,0.2500495833154536,0.32404265444089303,0.14388553766159445,0.09662806802576245,0.3042981280435642,0.01808006535497631,0.580993738575697,0.5644615960002527,0.006591763490210387,0.13351472890811303,0.29543191160142374,0.39822326285457066,0.16272301174426623,0.14321223645160938,0.2958414889495536,0.16723529604520992,0.34738724000472215,0.2003552641044557,0.2850221998456123,0.1723009866808141,0.34118896018320893,0.20148785329036448,0.2850221998456123,0.2594266933068669,0.21985848668732913,0.42027499164627763,0.10043982835952624,0.3473931999813515,0.32818229842295715,0.1478828131784375,0.1765416884172541
bZIP_1,0.6037835014849594,0.19323120117908146,0.14238469911965695,0.0606005982163023,0.01817797694577363,0.2361689970509615,0.5907414927587171,0.15491153324454762,0.7918281928018057,0.021503864943641246,0.002765576373997271,0.1839023658805557,0.1995176063552589,0.018150191758612714,0.7764435774171903,0.005888624468937924,0.002765576373997271,0.002765576373997271,0.20264065445019966,0.7918281928018057,0.00595139933754184,0.7917904720381358,0.0027788105050545343,0.19947931811926764,0.002801316033186942,0.18305209973224645,0.03777840790683059,0.7763681763277359,0.07366671457036346,0.3627261754081838,0.07730044863888011,0.4863066613825725
WRKY,0.3144873934769652,0.3193014215631054,0.2087471833934492,0.15746400156648027,0.26863328365118205,0.011467419838395589,0.029252379557614026,0.6906469169528086,0.0006262187058502573,0.2169587005374324,0.0005546015633475621,0.78186047919337,0.006814888347205032,0.7930295106759558,0.1997688958988533,0.000386705077985979,0.20424733523300956,0.0004908348475239912,0.794893985650118,0.0003678442693485963,0.9332957660411146,0.026423314909508732,0.030041897445650733,0.010239021603725858,0.7472291523848392,0.04038185724313789,0.1874336144406376,0.024955375931385256,0.21028077475029877,0.09266601863923776,0.4542988587594704,0.2427543478509934
zf-Dof,0.24817800727491218,0.218607466365108,0.20531950573586383,0.32789502062411574,0.3788729530816366,0.2659713549777814,0.16445431476421288,0.19070137717636887,0.3420009918399512,0.4160075591021094,0.11461185057384782,0.12737959848409158,0.7817400721368472,0.08457651795273727,0.07442830851268618,0.05925510139772907,0.7678597106010587,0.08306108136713959,0.08180452694340629,0.06727468108839527,0.4662683627099466,0.10972840684250125,0.40015938134799284,0.02384384909955929,0.10588587045174642,0.06911299620357415,0.04324727276097014,0.7817538605837094,0.17015650008460154,0.4354383096205696,0.22115858517957881,0.17324660511525
MADF_DNA_bdg,0.12553865778377016,0.17543885738456863,0.04041478787652583,0.6586076969551351,0.00254498827207238,0.7290100348333728,0.019189462306692884,0.24925551458786172,0.009879509732686578,0.9850500724470634,0.0025352089101248945,0.0025352089101248945,0.746893212278913,0.24884261345088843,0.0021320871350990946,0.0021320871350990946,0.7397647970113523,0.002129991158836948,0.25597522067097334,0.002129991158836948,0.2565900360484759,0.0025352089101248945,0.7383395461312741,0.0025352089101248945,0.0025374317614634424,0.10045206062793866,0.6493750366334479,0.24763547097714977,0.2829261784943296,0.14652147411080535,0.474299370330495,0.09625297706436986
GATA,0.13350252907382498,0.6618884194340989,0.05446204838363045,0.15014700310844548,0.871933335230414,0.000292523063080642,0.013436581948464454,0.11433755975804104,0.000251160204581403,0.000251160204581403,0.000251160204581403,0.9992465193862554,0.9992465193862554,0.000251160204581403,0.000251160204581403,0.000251160204581403,0.000251160204581403,0.9992465193862554,0.000251160204581403,0.000251160204581403,0.000251160204581403,0.000251160204581403,0.9992465193862554,0.000251160204581403,0.0002947896705145205,0.902001313563373,0.05578868534199083,0.04191521142412163,0.07757668680144629,0.0839972160585141,0.12097946457922398,0.717446632560815
NAM,0.3326741094667958,0.34499098311891097,0.21089973600059475,0.11143517141369831,0.4826492758032076,0.15392984502019644,0.34564763643123936,0.01777324274535654,0.49910380024016393,0.000528301664665301,0.4998395964305053,0.000528301664665301,0.000528301664665301,0.000528301664665301,0.49910380024016393,0.4998395964305053,0.000528301664665301,0.3276632878905608,0.13826934849662137,0.5335390619481529,0.41375144216053333,0.07175337288973645,0.513966883285065,0.000528301664665301,0.857142226460408,0.1061886345977254,0.036140837277200896,0.000528301664665301,0.5241312247300272,0.1503062251565244,0.3000068239589198,0.025555726154528557
AT_hook,0.8390575079872209,0.0403354632587859,0.000399361022364217,0.120207667731629,0.881609870740306,0.11780258519389,0.000293772032902468,0.000293772032902468,0.8326859045505001,0.16675915649278603,0.000277469478357381,0.000277469478357381,0.693951165371809,0.305493895671476,0.000277469478357381,0.000277469478357381,0.16675915649278603,0.8326859045505001,0.000277469478357381,0.000277469478357381,0.8326859045505001,0.16675915649278603,0.000277469478357381,0.000277469478357381,0.764101057579319,0.20593419506462998,0.0296709753231492,0.000293772032902468,0.18528106508875697,0.7769970414201179,0.0373520710059172,0.00036982248520710096
B3,0.661184210526316,0.00328947368421053,0.332236842105263,0.00328947368421053,0.00247524752475248,0.9925742574257429,0.00247524752475248,0.00247524752475248,0.00247524752475248,0.00247524752475248,0.00247524752475248,0.9925742574257429,0.00247524752475248,0.00247524752475248,0.9925742574257429,0.00247524752475248,0.9925742574257429,0.00247524752475248,0.00247524752475248,0.00247524752475248,0.00247524752475248,0.9925742574257429,0.00247524752475248,0.00247524752475248,0.00247524752475248,0.00247524752475248,0.00247524752475248,0.9925742574257429,0.00328947368421053,0.00328947368421053,0.9901315789473679,0.00328947368421053
CSD,0.00328947368421053,0.661184210526316,0.00328947368421053,0.332236842105263,0.00328947368421053,0.9901315789473679,0.00328947368421053,0.00328947368421053,0.00328947368421053,0.9901315789473679,0.00328947368421053,0.00328947368421053,0.00328947368421053,0.9901315789473679,0.00328947368421053,0.00328947368421053,0.00328947368421053,0.9901315789473679,0.00328947368421053,0.00328947368421053,0.661184210526316,0.332236842105263,0.00328947368421053,0.00328947368421053,0.00328947368421053,0.9901315789473679,0.00328947368421053,0.00328947368421053,0.00490196078431373,0.9852941176470591,0.00490196078431373,0.00490196078431373
DUF573,0.24001597444089498,0.160143769968051,0.5595047923322679,0.0403354632587859,0.135259179265659,0.0542656587473002,0.810205183585313,0.000269978401727862,0.0252247752247752,0.00024975024975025,0.00024975024975025,0.9742757242757242,0.00024975024975025,0.00024975024975025,0.00024975024975025,0.9992507492507491,0.0501998001998002,0.00024975024975025,0.949300699300699,0.00024975024975025,0.00024975024975025,0.00024975024975025,0.9992507492507491,0.00024975024975025,0.000269978401727862,0.027267818574513998,0.000269978401727862,0.9721922246220299,0.214336661911555,0.143009985734665,0.6066333808844511,0.0360199714693295
